0.5354,-0.8688,0.8870,-0.4367,-0.1869,0.8195,0.2600,-0.7905
0.0487,0.6772,0.6344,-0.0422,0.9529,0.5021,-0.4253,0.6333
-0.7917,0.1627,0.7881,-0.7975,-0.9131,0.1214,-0.6920,0.8374
-0.9290,-0.8920,0.4361,-0.7930,0.2778,-0.5381,-0.5693,-0.4908
-0.1432,-0.1022,-0.2459,-0.2884,-0.5139,-0.0919,-0.4661,0.8105
-0.5822,0.7150,-0.5548,-0.2740,-0.8063,0.9879,0.6073,-0.9492
0.8858,-0.9825,0.3765,0.5975,-0.4751,-0.1949,-0.2033,-0.1306
-0.8929,0.7533,-0.4445,0.5827,0.9637,0.2056,0.3005,0.8445
-0.5641,0.0498,0.9383,0.5058,-0.6165,0.3388,0.2541,0.9959
-0.2383,0.8687,0.2838,0.1717,-0.2952,-0.8277,-0.2252,0.3299
